Conferência,Quantidade Etapas,Título Etapa,Url Etapa,Descricao Etapa,Inscritos Etapa,Regiao Etapa,Status Etapa,Data Etapa,Propostas Etapa,Quantidade Propostas Etapa
5ª Conferência Nacional do Meio Ambiente,1527 reuniões,01ª Conferência Intermunicipal de Jaguaré e Alto Rio Novo/ES,https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/130/meetings/1795,"A 1ª Conferência Intermunicipal de Jaguaré, em conjunto com o município de Alto Rio Novo/ES, terá como tema central “Emergência Climática”, reunindo especialistas, gestores públicos, organizações da sociedade civil e cidadãos. O objetivo é promover um diálogo aberto e propositivo para enfrentar os desafios impostos pelas mudanças climáticas e seus impactos.
O evento será organizado em cinco eixos temáticos, que orientarão as discussões e deliberações, criando um espaço democrático e colaborativo voltado à construção de soluções sustentáveis e efetivas.
I – Mitigação:Exploração de estratégias e políticas para reduzir as emissões de gases de efeito estufa, promovendo práticas sustentáveis e inovadoras em diversos setores.
II – Adaptação e Preparação para Desastres:Discussão sobre medidas preventivas e de adaptação para enfrentar os efeitos adversos das mudanças climáticas, com foco na resiliência das comunidades e infraestrutura local.
III – Transformação Ecológica:Debates sobre a transição para uma economia verde, integrando a sustentabilidade ambiental nas práticas econômicas e sociais, e promovendo o uso responsável dos recursos naturais.
IV – Justiça Climática:Análise das implicações sociais das mudanças climáticas, assegurando que as políticas de clima incluam e beneficiem de maneira equitativa todos os segmentos da sociedade, especialmente os mais vulneráveis.
V – Governança e Educação Ambiental:Enfatizando a importância de uma governança eficaz e inclusiva para a ação climática e a necessidade de programas educacionais para sensibilizar e capacitar a população sobre os desafios e soluções climáticas.
Objetivo Geral:Promover um espaço de diálogo e construção coletiva de políticas e ações voltadas para a mitigação e adaptação às mudanças climáticas no contexto local e regional.",Não informado,"Jaguaré, Espírito Santo",Não informado,13 de Fevereiro 2025 08:00 às 18:00,[],0
5ª Conferência Nacional do Meio Ambiente,1527 reuniões,01ª Conferência Intermunicipal de Meio Ambiente de Alto Rio Novo/ES,https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/130/meetings/1859,"A 1ª Conferência Intermunicipal de Alto Rio Novo/ES, realizada em conjunto com outros municípios, aborda o tema central “Emergência Climática”. O evento reúne especialistas, gestores públicos, organizações da sociedade civil e cidadãos para debater e propor ações concretas diante das mudanças climáticas e seus impactos. O evento é organizado em cinco eixos temáticos, que guiarão as discussões e deliberações:
Eixos Temáticos:
I – Mitigação:Exploração de estratégias e políticas para reduzir as emissões de gases de efeito estufa, promovendo práticas sustentáveis e inovadoras em diversos setores.
II – Adaptação e Preparação para Desastres:Discussão sobre medidas preventivas e de adaptação para enfrentar os efeitos adversos das mudanças climáticas, com foco na resiliência das comunidades e infraestrutura local.
III – Transformação Ecológica:Debates sobre a transição para uma economia verde, integrando a sustentabilidade ambiental nas práticas econômicas e sociais, e promovendo o uso responsável dos recursos",0,"Alto Rio Novo, Espírito Santo",Não informado,13 de Fevereiro 2025 08:00 às 18:00,[],0
5ª Conferência Nacional do Meio Ambiente,1527 reuniões,01ª Conferência Intermunicipal de Meio Ambiente de Tomazina,https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/130/meetings/1958,"A 1ª Conferência municipal de Tomazina-PR, aborda o tema central “Emergência Climática”. O evento reúne especialistas, gestores públicos, organizações da sociedade civil e cidadãos para debater e propor ações concretas diante das mudanças climáticas e seus impactos. O evento é organizado em cinco eixos temáticos, que guiarão as discussões e deliberações:Eixos Temáticos:I – Mitigação:Exploração de estratégias e políticas para reduzir as emissões de gases de efeito estufa, promovendo práticas sustentáveis e inovadoras em diversos setores.II – Adaptação e Preparação para Desastres:Discussão sobre medidas preventivas e de adaptação para enfrentar os efeitos adversos das mudanças climáticas, com foco na resiliência das comunidades e infraestrutura local.III – Transformação Ecológica:Debates sobre a transição para uma economia verde, integrando a sustentabilidade ambiental nas práticas econômicas e sociais, e promovendo o uso responsável dos recursos naturais.IV – Justiça Climática:Análise das implicações sociais das mudanças climáticas, assegurando que as políticas de clima incluam e beneficiem de maneira equitativa todos os segmentos da sociedade, especialmente os mais vulneráveis.V – Governança e Educação Ambiental:Enfatizando a importância de uma governança eficaz e inclusiva para a ação climática e a necessidade de programas educacionais para sensibilizar e capacitar a população sobre os desafios e soluções climáticas.Objetivo Geral:Promover um espaço de diálogo e construção coletiva de políticas e ações voltadas para a mitigação e adaptação às mudanças climáticas no contexto local e regional.",0,"Tomazina, Paraná",Não informado,20 de Janeiro 2025 09:00 às 13:00,[],0
5ª Conferência Nacional do Meio Ambiente,1527 reuniões,01 ª Conferência Municipal do Meio Ambiente de Guaçuí/ES - EMERGÊNCIA CLIMÁTICA: O DESAFIO DA TRANSFORMAÇÃO ECOLÓGICA,https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/130/meetings/1862,"A Prefeitura Municipal de Guaçuí, por meio da Secretaria Municipal de Meio Ambiente realizará na data de 12 de fevereiro de 2025, no Plenário da Câmara Municipal, a 1ª Conferência Municipal de Meio Ambiente, onde abordará o tema central “Emergência Climática”, reunindo especialistas, gestores públicos, organizações da sociedade civil e cidadãos para debater e propor ações concretas diante das mudanças climáticas e seus impactos. O evento é organizado em cinco eixos temáticos, que guiarão as discussões e deliberações, e será amplamente divulgado nas mídias sociais da prefeitura e imprensa local.
Eixos Temáticos:
I – Mitigação: Exploração de estratégias e políticas para reduzir as emissões de gases de efeito estufa, promovendo práticas sustentáveis e inovadoras em diversos setores.
II – Adaptação e Preparação para Desastres: Discussão sobre medidas preventivas e de adaptação para enfrentar os efeitos adversos das mudanças climáticas, com foco na resiliência das comunidades e infraestrutura local.
III – Transformação Ecológica: Debates sobre a transição para uma economia verde, integrando a sustentabilidade ambiental nas práticas econômicas e sociais, e promovendo o uso responsável dos recursos naturais.
IV – Justiça Climática: Análise das implicações sociais das mudanças climáticas, assegurando que as políticas de clima incluam e beneficiem de maneira equitativa todos os segmentos da sociedade, especialmente os mais vulneráveis.
V – Governança e Educação Ambiental: Enfatizando a importância de uma governança eficaz e inclusiva para a ação climática e a necessidade de programas educacionais para sensibilizar e capacitar a população sobre os desafios e soluções climáticas.
Objetivo Geral: Promover um espaço de diálogo e construção coletiva de políticas públicas e ações voltadas para a mitigação e adaptação às mudanças climáticas no contexto local e regional.",33,"Guaçuí, Espírito Santo",Não informado,12 de Fevereiro 2025 08:00 às 13:00,['https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/54924'],1
5ª Conferência Nacional do Meio Ambiente,1527 reuniões,01ª Conferência Municipal do Meio Ambiente de Pedreira/SP.,https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/130/meetings/1566,"Com  objetivo de criar um espaço democrático de debate e deliberação sobre políticas públicas municipais, envolvendo a sociedade civil organizada e a Prefeitura Municipal.
A conferências municipal é um mecanismo de controle social, permitindo que a sociedade civil participe da construção de propostas e estratégias para a organização municipal.A participação da sociedade civil organizada é fundamental para o acompanhamento, fiscalização, controle e implementação das políticas públicas.
Tema: Emergência Climática - O Desafio da Transformação Ecológica
📅  07 de dezembro, às 8h📍  Centro de Exposições “Maestro Antônio Miguel Fabrin e Família Fabrin”
📝 Inscrições até 07/12:➡️ Online:📧 meioambiente@pedreira.sp.gov.br🔗 bit.ly/conferenciapedreira
➡️ Presenciais:Local: Secretaria de Agricultura, Abastecimento e Meio Ambiente📍 Rua XV de Novembro, nº 26
Vamos juntos discutir e agir pelo futuro do nosso planeta! 🌱 Participe!",0,"Pedreira, São Paulo",Não informado,07 de Dezembro 2024 08:00 às 12:00,"['https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/27691', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28198', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/40578', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/29636', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/29229', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/22266', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/30608', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/21744', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28870', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/26228', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/21685', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/40992', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/40598', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28491', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/27696', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/27440', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28608', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/27513', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/27382', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28612', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/27412', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/27755', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/27630', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28011', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28426', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28974', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28810', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/29474', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/29980', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/30017', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/31781', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/36603', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/36665', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/39141', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/35534', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/36785', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/33187', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/37907', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/36863', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/38319', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/38320', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/39155', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/40949', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/40769']",44
5ª Conferência Nacional do Meio Ambiente,1527 reuniões,03 CONFERÊNCIA MUNICIPAL DO MEIO AMBIENTE DE POÇO VERDE/SE - 1ª CONVOCADA PELA SOCIEDADE CIVIL,https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/130/meetings/1612,"A 3ª Conferência Municipal do Meio Ambiente de Poço Verde tem como objetivo reunir a sociedade, gestores públicos, movimentos sociais, organizações ambientais e demais interessados na discussão e proposição de soluções para questões ambientais que impactam o município. O evento visa sensibilizar a comunidade para a importância da preservação ambiental e a construção de políticas públicas sustentáveis que atendam às necessidades locais.",51,"Poço Verde, Sergipe",Não informado,15 de Janeiro 2025 08:00 às 12:00,"['https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/39556', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/39557', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/39547', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/39551', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/39558', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/39559', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/39552', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/39553', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/39550', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/39554']",10
5ª Conferência Nacional do Meio Ambiente,1527 reuniões,10ª Conferência Municipal de Meio Ambiente de Barra Mansa/RJ,https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/130/meetings/1593,10ª Conferência Municipal de Meio Ambiente de Barra Mansa-RJ. EMERGÊNCIA CLIMÁTICA: O DESAFIO DA TRANSFORMAÇÃO ECOLÓGICA,0,"Barra Mansa, Rio de Janeiro",Não informado,22 de Janeiro 2025 08:00 às 14:00,"['https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/36082', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/36092', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/36083', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/36084', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/36087', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/36089', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/36094', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/36095', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/36097']",9
5ª Conferência Nacional do Meio Ambiente,1527 reuniões,10ª Conferência Municipal de Meio Ambiente de Rolândia,https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/130/meetings/1156,"Considerando a necessidade de elaborar proposições sobre emergência climática para subsidiar a implementação da Política Nacional sobre Mudança do Clima, ocorrerá, no dia 11/12/2024 a partir das 13h30, a 10ª Conferência Municipal do Meio Ambiente, tendo como tema: “Emergência climática: o desafio da transformação ecológica”. A conferência será realizada no Sindicato Rural de Rolândia, localizado à Rua Manoel Carreira Bernardino, nº 375 – Centro – Rolândia/PR.",9,"Rolândia, Paraná",Não informado,11 de Dezembro 2024 13:30 às 17:00,"['https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28539', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28540', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28541', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28543', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28544', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28545', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28546', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28542', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28536', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/28537']",10
5ª Conferência Nacional do Meio Ambiente,1527 reuniões,10* Conferência Municipal de Meio Ambiente\Viamão-RS,https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/130/meetings/885,A 10* Conferência Municipal de Meio Ambiente de Viamão-RS será realizada no dia 11 de dezembro de 2024 a partir das 8hs no espaço da câmara municipal de Viamão.,Não informado,"Viamão, Rio Grande do Sul",Não informado,11 de Dezembro 2024 08:00 às 17:30,"['https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/30367', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/30342', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/30364', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/30366', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/30375', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/30380', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/30381', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/30355']",8
5ª Conferência Nacional do Meio Ambiente,1527 reuniões,12ª Conferência Intermunicipal do Meio Ambiente do Consórcio Público de Manejo dos Resíduos Sólidos do Sertão de Inhamuns.,https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/130/meetings/1023,"A 12ª Conferência Intermunicipal do Meio Ambiente tem como objetivo promover um diálogo amplo e inclusivo sobre a emergência climática. A iniciativa permitirá que toda a população brasileira possa propor soluções baseadas na realidade local para o enfrentamento das mudanças climáticas. Além disso, a conferência elegerá os(as) delegados(as) para a 5ª Conferência Estadual do Meio Ambiente, nos termos da Portaria do Ministério do Meio Ambiente e Mudança do Clima (MMA) nº 1.079, de 10 de junho de 2024, que convoca a 5ª Conferência Nacional do Meio Ambiente.",Não informado,"Tauá, Ceará",Não informado,04 de Dezembro 2024 08:00 às 12:30,"['https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/32336', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/32337', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/32338', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/32344', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/32340', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/32341', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/32342', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/32343', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/32345', 'https://brasilparticipativo.presidencia.gov.br/processes/cnma/f/131/proposals/32346']",10
