Título Consulta,Descrição Consulta,URL da Imagem,Enquetes,Sobre Consulta,Título de Cada Proposta,Descrição da Proposta,Autor da Proposta,Comentários (Parágrafos),Comentários da Consulta (Decreto),Comentários da Consulta (Portaria),Comentários do Decreto,Título de Cada Recomendação,Comentários das Recomendações
Andanças do Patrimônio - Construção participativa das  bases para o Sistema Nacional  de Patrimônio Cultural,"O Projeto Andanças do Patrimônio é um convite aberto à participação para estabelecer as bases do Sistema Nacional de Patrimônio Cultural (SNPC). Em conjunto com detentores, fazedores e trabalhadores do patrimônio, queremos construir as diretrizes e os principais pontos da agenda de políticas públicas para cuidar de nosso Patrimônio Cultural. Reunindo grupos e comunidades, gestores de políticas públicas, pesquisadores, mestres e mestras, estudantes do campo, profissionais, organizações públicas e privadas atuantes na preservação e salvaguarda do Patrimônio Cultural, e toda a sociedade interessada, queremos ampliar a discussão sobre como preservar e promover nosso patrimônio.Percorrendo o território nacional, o Andanças vai realizar diagnósticos, mobilizar atores, firmar acordos, discutir as competências e divisão de responsabilidades para a gestão e preservação do Patrimônio Cultura, culminando na formulação participativa e democrática do 1º Plano Setorial Nacional de Patrimônio Cultural e na constituição das diretrizes para o Marco Regulatório do sistema, dois documentos fundamentais para o processo de institucionalização se consolidar. Quanto mais representativa e inclusiva for a escuta, mais alinhados e integrados estarão sociedade, governos e agentes privados na preservação do Patrimônio Cultural.Será possível enviar contribuições também por meio da Plataforma Brasil Participativo, na forma de uma consulta pública. Todas as pessoas interessadas podem participar, incluindo quem já participou das Oficinas do Andanças e do Rolezinho, e especialmente que não teve oportunidade de participar desses eventos.Essa plataforma abordará os mesmos eixos e diretrizes que serão discutidos nas oficinas presenciais. O objetivo é ampliar a participação, visto que as oficinas presenciais podem trazer limitações ao número de participantes.A consulta pública digital ficará disponível ao longo de todo o período de realização das oficinas nos territórios. Para que essa escuta seja ampla e representativa, será importante difundir entre os parceiros e segmentos que atuam com o Patrimônio Cultural as formas de acesso e participação.",https://brasilparticipativo.presidencia.gov.br/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOGNWQVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--aa080fa96a4d87cb600fa928b676d17f6c62a753/Banner_site_mobile.png,,,,,,,,,,,
Andanças do Patrimônio - Construção participativa das  bases para o Sistema Nacional  de Patrimônio Cultural,"O Projeto Andanças do Patrimônio é um convite aberto à participação para estabelecer as bases do Sistema Nacional de Patrimônio Cultural (SNPC). Em conjunto com detentores, fazedores e trabalhadores do patrimônio, queremos construir as diretrizes e os principais pontos da agenda de políticas públicas para cuidar de nosso Patrimônio Cultural. Reunindo grupos e comunidades, gestores de políticas públicas, pesquisadores, mestres e mestras, estudantes do campo, profissionais, organizações públicas e privadas atuantes na preservação e salvaguarda do Patrimônio Cultural, e toda a sociedade interessada, queremos ampliar a discussão sobre como preservar e promover nosso patrimônio.Percorrendo o território nacional, o Andanças vai realizar diagnósticos, mobilizar atores, firmar acordos, discutir as competências e divisão de responsabilidades para a gestão e preservação do Patrimônio Cultura, culminando na formulação participativa e democrática do 1º Plano Setorial Nacional de Patrimônio Cultural e na constituição das diretrizes para o Marco Regulatório do sistema, dois documentos fundamentais para o processo de institucionalização se consolidar. Quanto mais representativa e inclusiva for a escuta, mais alinhados e integrados estarão sociedade, governos e agentes privados na preservação do Patrimônio Cultural.Será possível enviar contribuições também por meio da Plataforma Brasil Participativo, na forma de uma consulta pública. Todas as pessoas interessadas podem participar, incluindo quem já participou das Oficinas do Andanças e do Rolezinho, e especialmente que não teve oportunidade de participar desses eventos.Essa plataforma abordará os mesmos eixos e diretrizes que serão discutidos nas oficinas presenciais. O objetivo é ampliar a participação, visto que as oficinas presenciais podem trazer limitações ao número de participantes.A consulta pública digital ficará disponível ao longo de todo o período de realização das oficinas nos territórios. Para que essa escuta seja ampla e representativa, será importante difundir entre os parceiros e segmentos que atuam com o Patrimônio Cultural as formas de acesso e participação.",,"['Apresentamos aqui os eixos pensados para subsidiar as discussões no território e na consulta pública. Eles foram produzidos a partir do que foi discutido na 4ª Conferência Nacional de Cultura, realizada em março de 2024, e dos parâmetros da consulta participativa para a formulação do novo Plano Nacional de Cultura. A ideia é que os temas e questões trazidos sirvam para aprofundar o diálogo sobre o Patrimônio e focalizar as questões dos territórios.', 'Para responder ao questionário,faça login na sua conta.Are you foreign?Click here to participate.', 'EIXO 1 - Tecendo redes e fortalecendo territórios:  a institucionalização do Sistema Nacional  de Patrimônio Cultural a partir da gestão  participativa e compartilhada(Título e descrição)', 'Quais os principais desafios para a construção e ampliação de redes e  gestão participativa no território?(Resposta longa)', 'Como melhorar a atuação conjunta e compartilhar a responsabilidade  pela gestão do Patrimônio Cultura entre órgãos federais, estaduais e  municipais?(Resposta longa)', 'EIXO 2 - Patrimônio Cultural para e pelo povo:  representatividade, acessibilidade, equidade  e democratização(Título e descrição)', 'Quais os principais desafios para se garantir a representatividade,  acessibilidade, equidade e democracia nas políticas de patrimônio no  território?(Resposta longa)', 'Como ampliar e garantir a representatividade, acessibilidade, equidade  e democracia nas políticas de patrimônio no território?(Resposta longa)', 'EIXO 3 - Fazendo a Roda Girar: Fomento, Economia  do Patrimônio, Trabalho, Renda e  Sustentabilidade(Título e descrição)', 'Quais os principais desafios para a geração de renda a partir do  Patrimônio Cultural?(Resposta longa)', 'Como promover a sustentabilidade econômica do Patrimônio Cultural  no território?(Resposta longa)', 'EIXO 4 - Patrimônio Cultural: caminhos para a  promoção do desenvolvimento sustentável  e para a proteção e a adaptação frente à  emergência climática(Título e descrição)', 'Quais as ameaças enfrentadas pelo Patrimônio Cultural diante da  emergência climática no território?(Resposta longa)', 'Como e quais mecanismos podem ser criados para adaptação climática  do Patrimônio Cultural?(Resposta longa)', 'Como construir e quais ações devem constar na agenda de  Desenvolvimento Sustentável e Patrimônio Cultural no território?(Resposta longa)']",,,,,,,,,,
Por um Sistema Nacional de Direitos Humanos:,"Consolidar a Democracia, Resistir aos Retrocessos e Avançar na Garantia de Direitos para Todas as Pessoas.",https://brasilparticipativo.presidencia.gov.br/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNG9QQVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--2c570e81d7fd4f074255b599c622b9025db71235/Design%20sem%20nome.png,,,,,,,,,,,
Fortalecendo a Participação nos Municípios,"Este formulário tem o objetivo de coletar informações importantes sobre a visão e o contexto de prefeitos(as), governadores(as) e gestores(as) estaduais e municipais. Suas respostas contribuirão para orientar os próximos passos da plataforma Brasil Participativo, fortalecendo a participação e o diálogo entre os municípios e o Governo Federal.Para responder, basta acessar a aba ao lado e fazer login com suas credenciais doGOV.BR.Participe aqui!Contamos com sua colaboração para construir, juntos, uma gestão pública mais participativa e eficiente!",https://brasilparticipativo.presidencia.gov.br/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd2NJQVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--a5f506ba49de6dc9edca0a011ae59ae6924b167d/ENPP-Mobile-1.png,,,,,,,,,,,
Fortalecendo a Participação nos Municípios,"Este formulário tem o objetivo de coletar informações importantes sobre a visão e o contexto de prefeitos(as), governadores(as) e gestores(as) estaduais e municipais. Suas respostas contribuirão para orientar os próximos passos da plataforma Brasil Participativo, fortalecendo a participação e o diálogo entre os municípios e o Governo Federal.Para responder, basta acessar a aba ao lado e fazer login com suas credenciais doGOV.BR.Participe aqui!Contamos com sua colaboração para construir, juntos, uma gestão pública mais participativa e eficiente!",,"['Este formulário tem o objetivo de coletar informações importantes sobre a visão e o contexto de prefeitos(as), governadores(as) e gestores(as) estaduais e municipais. Suas respostas contribuirão para orientar os próximos passos da plataforma Brasil Participativo, fortalecendo a participação e o diálogo entre os municípios e o Governo Federal.', 'Contamos com sua colaboração para construir, juntos, uma gestão pública mais participativa e eficiente!', 'O questionário está fechado e não pode ser respondido.']",,,,,,,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",https://brasilparticipativo.presidencia.gov.br/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUxDIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9baedf8dd6768599fc421a7f2f6191c70ff15bf7/ASSBAG-BIO-0002-bannerMobile-359x220px.jpg,,,,,,,,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"Aplicação de tecnologias desenvolvidas por empresas nacionais, estimulando o crescimento da indústria tecnológica local e garantindo maior independência tecnológica para o Brasil.",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"Recomendação para equiparação das duas formas de biometria, reduzindo a dependência de uma única tecnologia e aproveitando o uso integrado de ambas para aumentar a robustez do processo de verificação em todas as etapas.",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"Sistemas nacionais especializados em prevenção a fraudes participando do ecossistema com a finalidade de acréscimo da camada de segurança e verificação, fomento à tecnologia nacional e interoperabilidade de bases por meio de acordos  técnicos, o que poderá também ser condicionado a padrões globais de segurança para aplicação de tecnologias nacionais com alto padrão.",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"Os Institutos de Identificação dos estados e do DF, bem como os órgãos estaduais e do DF de perícia oficial de natureza criminal devem ter acesso à ferramenta forense (ABIS Criminal) do SBF para poder pesquisar vestígios de impressões papilares e de imagem facial humana para fins de perícia de natureza criminal e investigações de interesse da persecução criminal.",,,,,
