Plano,Quantidade Propostas,Título Proposta,Descrição Proposta,Link,Votos,Autor
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Revisão de Portarias SAP/MAPA nº265 de 2021 e nº608 de 2022,"Articular com a Secretaria Nacional de Registro, Monitoramento e Pesquisa
para a revisão da Portaria SAP/MAPA no 265 de 2021 e no 608 de 2022.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57655,0,LUCAS
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Melhorias para pescadores,"Gostaria que tivéssemos um olhar mais detalhado na área da saúde com direito a ajuda com exames muito caro,atendimento de qualidade e etc ,cooperativa na nossa comunidade para poder vender os nossos Mariscos ,mais segurança é algo que os pescadores das ilhas precisam muito pois não temos mais a liberdade de sair de casa às madrugada e voltar meia noite",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57663,0,ROSANGELA
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Gestão sustentável e reconhecimento de direitos na pesca: ordenamento da pesca esportiva e valorização do pescador artesanal tradicional.,"1. Implementar ordenamento e zoneamento para a pesca esportiva a fim de fiscalizar a atividade e a venda de pescado dessa modalidade.
2. Reconhecer a categoria de ""Pescador Artesanal Tradicional"" como e rever o texto da portaria SAP/MAPA Nº656 de março de 2022, a fim de extinguir a exigência do PREPS para esta categoria.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57660,0,THIAGO
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Melhoria das condições de saúde do pescador,"Melhoria das Condições de Saúde Implementação de programas de saúde voltados para pescadores, com foco em atendimento médico regular e prevenção de doenças.Campanhas de conscientização sobre saúde e segurança no trabalho.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57293,0,MARCILIO
Plano Nacional da Pesca Artesanal,37 propostas encontradas,"Assistência, previdência e reconhecimento de gênero","Garantir o direito ao consentimento e consulta livre, prévia e informada para empreendimentos em territórios tradicionais.
Reconhecer os direitos trabalhistas e previdenciários e documentação para mulheres pescadoras artesanais. Reconhecer como atividade pesqueira o trabalho de beneficiamento do pescado feito pelas mulheres.
Ofertar cursos de Boas Práticas de Manipulação do Pescado para comunidades tradicionais.
Criar Programa de valorização e inclusão das mulheres no sistema produtivo da pesca",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57659,0,HELIO
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Doenças Ocupacional e Previdência Social- Reconhecendo direitos!,"Discutir políticas públicas voltadas para saúde dos pescadores(as) artesanais, como a implantação de médico do trabalho para diagnóstica doenças ocupacionais, para que os pecadores (as) possam ter acesso a direitos previdenciários (aposentadoria, auxílio doença), tem sido negado esse direito a categoria, melhores condições de trabalho e reconhecimento como prioridade a saúde dessa categoria.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57292,0,LUIZ
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Programa de Pagamento por Serviços Ambientais em Territórios Pesqueiros,"Estruturação de um PSA para a pesca artesanal, com desenvolvimento de metodologia para sua implementação e valoração, com impacto positivo no ICMS Ecológico dos Munic´ípios.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57671,0,RITA
Plano Nacional da Pesca Artesanal,37 propostas encontradas,"Revisar período de defeso do camarão 7 barbas, no extremo sul da Bahia.","Haja visto percepção histórica ds categoria pesqueira, confirmada por algumas pesquisas científicas, os dois períodos de defeso do camarão, pelo menos para o extremo sul da Bahia, onde a pesca do 7 barbas é o mais importante, mostram-se equivocados, pois nesse período a quantidade de recrutas da espécie não é significativo, que ocorre noutros períodos, promovendo redução do ganho das famílias e que reduz a efetividade da medida de ordenamento.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57364,0,RONALDO
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Conselho Estadual de Pesca e Aquicultura,"Formação de Conselhos Estaduais e Nacional da Pesca Artesanal
Com o objetivo de garantir a participação ativa das comunidades pesqueiras na formulação e fiscalização das políticas públicas voltadas à pesca artesanal, proponho a criação dos Conselhos Estaduais e do Conselho Nacional da Pesca Artesanal.
Esses conselhos deverão ter composição paritária entre representantes das comunidades pesqueiras (sindicatos, colônias, associações e movimentos sociais).",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57291,0,FRANCILENE
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Repetente e protetor solar,"Em conjunto com o Ministério da Saúde, criar uma lei onde cada pescador/a possam através do RGP ( registro geral do pescador) , adquirir
gratuitamente uma vez por mês , um repelente e um protetor solar . Assim como existe o programa ""Dignidade menstrual"" porque não essa ação com a categoria pesqueira que tanto sofrem com doenças dermatológicas , seja por exposição ao sol ou picadas de insetos .",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57665,0,ROSINEA
